,date,user_country,user_city,store_name,store_lat,store_lon,dfee,distance
47,2022-01-23,hr,City of Zagreb,Pingu Gelato,45.81537704187339,15.976565069171725,8.0,1.1035164467682357
48,2022-01-23,hr,City of Zagreb,Hot & Fresh,45.80313154002647,15.962528586387634,8.0,1.3884385079384223
49,2022-01-23,hr,City of Zagreb,Forza pizza,45.808215815779796,15.992394866998161,8.0,0.9966613594475421
50,2022-01-23,hr,City of Zagreb,Slastičarnica Dulcia,45.79990036726324,15.9530308842659,12.0,2.1928631125960005
51,2022-01-23,hr,City of Zagreb,Gyros Paprika,45.787127173205796,15.951518118381498,16.0,3.0304874356491016
52,2022-01-23,hr,City of Zagreb,Fluid OPG Pizza - Savica,45.7942796,15.9970584,10.0,1.8362936130199188
53,2022-01-23,hr,City of Zagreb,Basta Gourmet bar Centar,45.8118417,15.9731627,8.0,0.8615150991319439
54,2022-01-23,hr,City of Zagreb,Restoran Bonaca,45.8038847,15.9621957,8.0,1.3987843783847864
55,2022-01-23,hr,City of Zagreb,Pizzeria Bros,45.80258603786035,15.953351678751583,12.0,2.0988184369430365
56,2022-01-23,hr,City of Zagreb,Beş Kebab - Tkalčićeva,45.81848157593787,15.976501895202539,7.0,1.4417977075602815
57,2022-01-23,hr,City of Zagreb,Pizzeria Rikula,45.80995679999999,16.0007535,10.0,1.6730135887369313
58,2022-01-23,hr,City of Zagreb,Chi le ma,45.7912425,15.9625606,12.0,2.1076224081786137
59,2022-01-23,hr,City of Zagreb,Zlatna pizza,45.7980172,15.976971,8.0,0.8928937863797637
60,2022-01-23,hr,City of Zagreb,Eci peci...pizza,45.7900657,15.9279243,20.0,4.401812550834843
61,2022-01-23,hr,City of Zagreb,El Toro burgers & ribs,45.81210603670028,15.979093909263609,8.0,0.7101485093059644
62,2022-01-23,hr,City of Zagreb,Public Pizzeria & Food,45.808671,15.93094,18.0,3.820380940176847
63,2022-01-23,hr,City of Zagreb,Bakine palačinke,45.8062079,15.9530101,12.0,2.0960249307988987
64,2022-01-23,hr,City of Zagreb,Curry Bowl Restaurant,45.81614782727653,15.97661018371582,8.0,1.186060016416519
65,2022-01-23,hr,City of Zagreb,Buffet - Pizzeria Blue Sky,45.80032019999999,15.9382929,16.0,3.292695771638298
66,2022-01-23,hr,City of Zagreb,Streetfood DB,45.7965749,15.9687475,8.0,1.3449154146580298
67,2022-01-23,hr,City of Zagreb,Pizzeria 6,45.8122343,15.9666777,8.0,1.2616852889872971
68,2022-01-23,hr,City of Zagreb,Casper Grill,45.7941559,15.9964683,10.0,1.813441909708473
69,2022-01-23,hr,City of Zagreb,Burger King - Arena Centar,45.770839735841946,15.939939022064209,22.0,4.975363731949366
70,2022-01-23,hr,City of Zagreb,Slastičarnica M&M,45.7985768,15.9175666,22.0,4.909310045627702
71,2022-01-23,hr,City of Zagreb,Sweet Bite,45.8180576,16.0070185,14.0,2.4998031666990506
72,2022-01-23,hr,City of Zagreb,Batak Grill - Tkalčićeva,45.8175207,15.9763224,8.0,1.3399407121537399
73,2022-01-23,hr,City of Zagreb,Slastičarnica Grand Marnier ,45.80192287571466,15.953470230069795,12.0,2.1034690668112073
74,2022-01-23,hr,City of Zagreb,Burger Bar Mrav,45.7741991,15.9632805,18.0,3.7428087159199834
