,dfee,distance
0,6.0,2.831862107243485
1,7.0,1.4417977075602815
2,8.0,3.3028031934878848
3,10.0,1.9785379345566498
4,12.0,2.4843263715161292
5,14.0,2.989275749666125
6,16.0,3.5007150281569044
7,18.0,3.942344927640587
8,20.0,4.480936693682712
9,22.0,4.975363731949366
